ปริมาณฝน(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
29  ,376201-ตาก จ.ตาก,May-06,0,0,0,0,0,0,1.3,0.7,0.4,1.2,8.2,0,0,0.5,2.8,0.7,0.1,30.5,17.4,13.9,106.4,9.4,50.5,23.6,0.5,23.3,5.5,0,1.3,14,0.5,312.7
30  ,376201-ตาก จ.ตาก,Jun-06,0,0.1,0.1,0.3,T,0,0,0,0,0,2.1,0.4,0,0,0,0,0,1,30.8,10.8,26.4,0,18.4,T,22.8,3.7,3.3,20.7,3.3,5.9,-,150.1
31  ,376201-ตาก จ.ตาก,Jul-06,20.5,2,0,1.5,2,11.7,8.4,0.6,4.1,1.2,13.8,0,0,8.4,0,0.5,T,18.6,1.9,3.7,0,0,0,0,0,1.3,1.5,0,5,0.5,1,108.2
32  ,376201-ตาก จ.ตาก,Aug-06,18.5,T,0.5,0,0,0,0,0,1.1,6.6,0.1,1,0,10,0,0,0,0,0.3,0.7,5.4,0.5,0,0,3.2,3.3,T,0,2.4,20.8,12.9,87.3
33  ,376201-ตาก จ.ตาก,Sep-06,11.3,0.2,0,0,0,0,0,0,8.5,5.3,8.2,37,34.3,T,4.1,9,2.1,4.1,9.3,1,4.5,44.9,0,0,10.7,70.5,72.6,4.7,0,0.1,-,342.4
34  ,376201-ตาก จ.ตาก,Oct-06,0,39.4,6,6,3,43.8,37.1,20.4,17,1.8,5.7,8,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,188.9
35  ,376201-ตาก จ.ตาก,Nov-06,0,0,0,0,0,0,0,0,0,0.1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,16.8
36  ,376201-ตาก จ.ตาก,Dec-06,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
37  ,376201-ตาก จ.ตาก,Jan-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
38  ,376201-ตาก จ.ตาก,Feb-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
39  ,376201-ตาก จ.ตาก,Mar-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
40  ,376201-ตาก จ.ตาก,Apr-07,0,0,0,0,0,0.6,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,11.7,0,-,22.3
41  ,376201-ตาก จ.ตาก,May-07,0.2,11.2,8.6,17.6,34,45.4,99.8,97.3,1.4,1.8,51.7,9.4,2,8.9,14.5,0,5.1,5.5,0,0.3,2,0,0,0,0,0,0,0,0.2,5.1,0,422
42  ,376201-ตาก จ.ตาก,Jun-07,0,0,1,2,0.8,3.3,0,28.2,0,0,0,0,0,1.2,0,0,0,0.5,10.2,14.3,0,0,0,6.5,0.2,36.1,8,1.6,2,0,-,115.9
43  ,376201-ตาก จ.ตาก,Jul-07,0,0,1.8,1,T,T,0,0.5,0,0,0,0,1.4,6.7,0,1.3,0.4,0,0,0.5,1,0,5.4,0.9,0,0,0,0,3.3,4.7,0.2,29.1
44  ,376201-ตาก จ.ตาก,Aug-07,1.3,0.4,0,0,0,0,0,4,3,3.6,10.9,0,0,0,0,0.1,0,0,0,0,0.4,1.1,4.5,0,0,0,0,0.4,23.1,4.5,1.6,58.9
45  ,376201-ตาก จ.ตาก,Sep-07,18.3,0,0,0.2,16.7,18.5,0,0,0.1,0.7,1.4,51.2,0,2.4,12.7,0,4.5,17.5,45.8,70.5,0,0,0,0,0,0,0,0.3,2.7,T,-,263.5
46  ,376201-ตาก จ.ตาก,Oct-07,0,0,0,24.1,14.7,6.5,0.8,0,7.5,1.3,11.5,76.3,43.8,51.1,42,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,290.9
47  ,376201-ตาก จ.ตาก,Nov-07,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.5
48  ,376201-ตาก จ.ตาก,Dec-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
49  ,376201-ตาก จ.ตาก,Jan-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,T
50  ,376201-ตาก จ.ตาก,Feb-08,0.3,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.1,0,-,-,16.4
51  ,376201-ตาก จ.ตาก,Mar-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
52  ,376201-ตาก จ.ตาก,Apr-08,0,6.4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,0,26.1,0,0,0,0,30.3,65.2,-,191.9
53  ,376201-ตาก จ.ตาก,May-08,0,12.6,2.9,0,0,0,0,0,0,40.5,37.7,51.6,36,4.7,10,2.5,3.2,T,0,0,0,0,0,1,0,0.3,0,T,0.5,0,0,203.5
54  ,376201-ตาก จ.ตาก,Jun-08,0,0.7,2.6,0,0,1.3,1.5,5.5,0,0,0,0,12.3,11.7,2.3,0.7,0.4,2.6,0,0,0,0,0,0,0,0,0,T,0,0,-,41.6
55  ,376201-ตาก จ.ตาก,Jul-08,0,0,0,0,0.9,0.6,4.9,0,0,T,0,0,2.5,0,0,0,0,3.1,16.9,2.4,0,0,0.2,23.2,9.3,5.5,0,0.5,0,0,0.2,70.2
56  ,376201-ตาก จ.ตาก,Aug-08,4.2,1.3,0,1,0.9,13.1,5,6.8,0.8,1.7,3.9,8,0.4,0,0,0,0,0,0,14.3,0,2,0,0,0,0,1.3,0,0.3,0,1.2,66.2
57  ,376201-ตาก จ.ตาก,Sep-08,5.3,T,0,2.2,0.7,10.2,20.4,6.7,0,0,37,32.9,35.8,0,0,0,0,2,6,0.5,0,0,0,0.1,0,0.8,0,2.7,0,53,-,216.3
58  ,376201-ตาก จ.ตาก,Oct-08,10.5,13,0.5,0,3,2.3,7.9,0,0,5,15.1,0,43.5,5,0,7.2,T,0.1,4.8,0.5,24.9,7.5,27.1,8.4,20.3,51,17.2,17.3,0,12.2,35.3,339.6
59  ,376201-ตาก จ.ตาก,Nov-08,38.5,0,0,0.3,4.7,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,46.4
60  ,376201-ตาก จ.ตาก,Dec-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,17.5,1,0,0,0,0,18.6
61  ,376201-ตาก จ.ตาก,Jan-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
62  ,376201-ตาก จ.ตาก,Feb-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
63  ,376201-ตาก จ.ตาก,Mar-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,T,1.6,0,1.1,0,0.6,0.6,0,0,T,0,0,0,0,3,7.9
64  ,376201-ตาก จ.ตาก,Apr-09,0,0,0,0,0,0,0,0,0,9.2,1.1,2,0,18.1,0,0,0,3.5,0,0,0,0,0,0,21,4.2,1.8,0,12.1,0,-,73
65  ,376201-ตาก จ.ตาก,May-09,0,0,31.3,37,0,0,0,0,0,10.5,0,17.8,15.2,4.8,17.4,0,1.1,0,15.4,0,0.3,0,0,0,0,0,0,23.2,19.1,9.3,6.6,209
66  ,376201-ตาก จ.ตาก,Jun-09,0,14.2,0,0.6,19.7,9.4,1.2,2.2,0.2,0,0.9,9.6,0,0,0,3.5,12.3,6.1,9.3,0,5,8.1,19.9,0,1.8,2.3,0,0,0,3.4,-,129.7
67  ,376201-ตาก จ.ตาก,Jul-09,0.8,5.2,0.1,0,15.8,7.6,0,0,0,0,0,0,14,6,0.2,1,0.2,T,0,0,0.5,0,0,6,0.2,2.2,T,0,T,3,3.4,66.2
