station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,sum
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.3,0,0,0,0,0,0,12.7,0,0.3,0.5,-,-,33.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,115.3,0,6.2,0,0,0,134.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-00,0,0,0,0,0,0,0,0,0,0,23.2,0.3,0,0,43.7,6.2,20.8,0,0,62.2,0,0,0,0,0,0.4,0.1,0,0.6,0,-,157.5
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-00,0,0,0,9.2,0.6,2.8,0,0,0,0,5.5,2.5,7.8,8,28.7,5,10.2,4.8,15.7,1.2,0,25.9,3.6,0,17,29.6,8.4,0,0,1.7,22,210.2
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-00,0,3.6,11.5,12,2.7,25.3,0.3,1.5,0,2.1,1.4,18.8,4.9,24,21.6,6,0,4.3,0,5.9,3.4,0.4,7.5,6.6,2.9,3.2,0.4,0,8.9,0,-,179.2
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-00,0.9,0,0.1,19,101.3,7.9,1.6,8.5,0,0,2.6,2.1,0,8.5,0,4.8,5.8,3.3,0,1,11.1,24.1,4.4,5.6,4.3,3.1,0,0,0.5,12.6,0.5,233.6
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-00,0,0,0.5,0.3,0.1,3.5,1.4,11.1,24.5,1.8,2,0,7.3,0.2,15.8,0,0.2,22.3,0,6.3,1.8,0,2.4,3.3,2.2,0,0.2,6.6,1.1,10.3,8.8,134
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-00,0.1,1.7,54.6,68.1,6.6,0,0.2,0,0,0,57.1,8.9,1.6,5,0.3,0,0,16.1,0,24.3,0.4,0,0,31.3,1.3,18,0,10.9,11.3,35.1,-,352.9
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-00,13.6,0,0,0,2.1,0,0,0,0.1,0,12.2,0,0.1,0,0,0,1.5,0,1,0,0,18.1,0.8,4.6,0,0.2,0,0.3,51.5,74.3,0,180.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.1,0,0,-,2.6
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,3.1
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-01,0,0,0,0,0,0,0,0,0,0.4,0.2,7,15.4,4.3,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,-,6.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-01,3.1,0,0,2.3,0,2.2,0,0,0,5.9,0,0,7.4,19,10,17.9,2.3,0,0,40.1,0.5,0,6.3,0,1.1,45,21.6,7.7,3.1,6.5,14.4,216.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-01,9.2,4,0,6,0,10,0,0.6,0,1.3,0,17,12.8,15,9.7,2.5,2.1,0,0,0.5,2.2,0.9,5.3,4,0,0.5,5.2,0.1,10.8,8,-,127.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-01,4.7,0,0,0,10.9,0,0,5.4,5.3,2.1,32.2,1.1,3.3,21.5,4.2,3.4,18.5,2.2,23,9.6,8.5,28.4,14.1,0.9,3.5,6.4,2.5,0,0.3,8.8,19.1,239.9
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-01,19.9,14.7,23.4,32.5,5.7,6.2,8.6,1.8,0.4,0.7,49.6,8.4,10.6,4.7,1.7,0,0,0.2,0.8,0.8,0,0,0,0.2,0,0,0.6,2.9,0.8,3.6,0,198.8
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-01,0,0,27.7,98.1,1,0,0,0,2.1,23,0.5,0,44.9,42.1,1.5,0,0,0,0.8,0.2,5,14.8,0.2,4.1,0.1,0,0,0,1.1,5.2,-,272.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-01,4.1,0,0,0,9.4,11.6,0,0.4,3,11,5.2,0.1,0,0,12,5.6,0,16.8,0,0,0,0,1.6,4.1,14.7,0,41.5,30,22,0.9,0,194
