น้ำระเหยถาด(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
21  ,376201-ตาก จ.ตาก,Sep-99,4.2,3.5,3.9,5.4,5.6,5.6,2.5,3.1,5.1,7,3.3,4,5.8,3.3,5,2.1,1.8,3.8,8.9,1.3,4.7,7,3.8,-,3.6,6,4.6,6.2,1.9,3,-,4.3
22  ,376201-ตาก จ.ตาก,Oct-99,6.7,5.9,3.3,2.1,3.4,5.7,4,2.9,3.3,2.4,2.1,2.6,3,3.2,2.3,3.7,3.4,2.1,3.6,1,1.5,2.1,3.4,3.5,3.3,2.6,7.2,3.1,3.3,3,2.9,3.3
23  ,376201-ตาก จ.ตาก,Nov-99,4.2,1.4,3.1,0.8,2.7,3.3,0.9,2.1,1.1,0.9,1,1.5,2.5,1.1,1.3,1,7.5,5.1,1.3,4,3.3,0.9,1.9,4.4,2.2,2.1,4.1,1.5,3.3,1.7,-,2.4
24  ,376201-ตาก จ.ตาก,Dec-99,4,2.5,4.3,3.9,2.5,3.3,3,1.1,2.2,3.3,1.3,3.3,2.4,2.8,2.4,2.7,2.6,3,4.8,1.2,2.7,4.6,3.1,3,3.1,2.7,2.2,2.5,4,2.9,3.8,2.9
25  ,376201-ตาก จ.ตาก,Jan-00,3.3,3.8,2.4,4.5,3.2,4.4,2.8,4.7,2.8,3.2,4.6,4.9,4.1,4.1,3.7,5.3,2.4,5.7,5.6,2.3,2.4,4.4,4.3,2.7,5,3.2,4.4,3.9,2.9,4.5,2.8,3.8
26  ,376201-ตาก จ.ตาก,Feb-00,4,3.2,3.8,3.4,3.8,2.5,4.6,2.6,6.1,3.7,4.9,7.8,4.5,3.8,4.9,1.4,4.2,3.1,3.3,4.6,7.6,6.4,8.1,5.6,5.6,1.9,1.7,1.7,4.9,-,-,4.3
27  ,376201-ตาก จ.ตาก,Mar-00,1.5,4.8,4.3,7.9,6.3,6.2,4,8.2,4.8,9.6,8.2,8.6,8.5,6.8,5.3,8.2,6.1,8.8,4.7,7.4,5.3,6.1,3.5,3.4,3.5,6.1,5.4,7.2,2.5,6.6,6.5,6
28  ,376201-ตาก จ.ตาก,Apr-00,10.8,10,12.4,10,9.6,7.6,6.3,8.3,6.1,7.8,3.7,1.7,3.9,2.4,2.9,4.2,4.1,5.6,10,8.5,3.7,-,2.5,7,6.2,5.9,5.4,5.5,2.3,4,-,6.2
29  ,376201-ตาก จ.ตาก,May-00,6,5.4,5,3.1,3,3.8,8.2,4.5,5.6,9.6,5.9,6.4,5.5,0.1,2.6,2.5,5.3,6.5,2.5,2.3,2.1,1.9,5.2,6.3,3.8,3.7,5,7.7,5.2,3.8,4.3,4.6
30  ,376201-ตาก จ.ตาก,Jun-00,6.5,1.1,1,0.2,2.1,7.4,7.3,5.7,7.1,5.6,5.6,2.5,3.3,3.1,2.4,0.7,4,4.1,7.3,6.6,6.1,7.3,5.9,3.2,5.4,1.6,5.8,5.5,5.4,2.4,-,4.4
31  ,376201-ตาก จ.ตาก,Jul-00,4,3.8,6,4.9,6.1,4.1,3.2,4.1,4.8,1,0.8,2.2,4.6,6.1,4.9,3.1,1.4,0.4,2.4,5,5.2,5.4,3.1,6.1,8.6,7.3,5.9,5.8,8.2,6.7,6.9,4.6
