ความชื้นสัมพัทธ์(เปอร์เซ็นต์),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
28  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-16,46,44,44,44,41,43,46,46,55,57,45,47,47,44,45,44,43,43,46,42,40,53,51,46,43,45,42,45,54,64,-,46
29  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-16,67,70,68,67,61,61,56,52,48,51,48,49,51,51,48,44,59,54,67,74,81,84,79,78,76,74,69,60,59,65,76,63
30  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-16,86,88,81,80,81,77,75,86,86,89,86,86,85,87,84,80,85,84,77,75,69,77,75,84,89,84,79,74,80,84,-,82
31  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-16,90,87,89,89,90,84,89,82,85,85,88,87,85,85,88,85,89,83,79,81,90,83,86,81,82,78,78,82,84,88,86,85
32  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-16,84,85,81,82,86,84,80,81,83,82,80,84,89,85,90,92,89,83,80,94,82,82,86,87,89,89,90,90,85,82,88,85
33  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-16,85,82,86,88,84,79,85,82,85,81,92,95,86,88,91,87,82,93,82,90,90,85,81,87,88,89,87,85,87,84,-,86
34  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-16,82,84,82,84,85,90,86,83,79,85,83,84,84,82,80,87,86,81,81,85,85,82,79,88,88,85,86,85,87,84,81,84
35  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-16,83,85,81,83,82,83,81,84,85,87,88,83,84,84,84,84,83,84,84,81,82,85,82,84,84,84,85,85,81,81,-,83
36  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-16,84,82,85,83,83,76,81,83,81,85,84,83,82,83,77,89,86,82,81,83,80,83,82,81,81,80,80,77,76,76,78,81
37  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-17,81,80,86,92,88,83,81,79,80,88,89,82,77,76,73,77,77,79,79,77,78,76,75,76,72,73,73,73,72,73,74,79
38  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-17,75,71,69,67,68,69,69,69,70,69,70,71,72,70,71,71,69,70,69,66,65,64,60,60,57,57,59,57,-,-,-,67
39  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-17,58,59,58,59,59,58,59,57,57,56,60,56,56,59,57,51,51,50,54,56,51,52,55,56,55,54,55,56,54,52,54,56
40  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-17,59,66,63,69,64,57,54,54,57,56,56,53,54,60,81,86,88,73,65,62,62,60,63,59,58,59,57,61,73,68,-,63
41  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-17,74,73,65,64,71,72,73,67,68,69,68,64,68,72,70,72,78,71,70,66,63,67,69,71,67,64,78,70,78,82,81,70
42  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-17,72,71,67,69,67,68,75,82,79,83,82,90,90,85,83,78,80,87,82,87,84,78,78,74,76,70,74,78,80,84,-,78
43  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-17,84,80,79,85,85,77,78,77,82,82,84,86,85,80,85,81,85,87,81,84,85,89,88,86,84,84,85,79,79,74,77,82
44  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-17,80,80,86,87,84,87,89,85,86,83,83,84,81,85,86,90,84,83,84,85,90,81,79,83,89,85,86,77,81,85,80,84
45  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-17,88,86,83,81,83,82,85,83,86,89,84,81,81,77,81,93,89,89,86,82,84,86,86,83,82,91,87,85,84,84,-,85
46  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-17,83,85,86,85,88,82,87,88,81,81,90,84,79,84,84,80,89,87,86,81,82,85,84,86,83,87,83,84,79,77,78,84
47  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-17,79,84,81,74,76,86,83,82,87,84,83,84,84,84,83,84,85,84,83,83,83,84,87,85,84,87,84,84,84,86,-,83
48  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-17,82,82,83,86,84,83,86,87,85,84,84,83,83,83,82,85,82,84,74,71,76,79,81,83,84,82,93,86,91,86,85,83
49  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-18,81,82,89,88,91,91,89,88,83,85,81,74,76,78,80,79,80,81,78,80,74,71,74,74,74,75,75,76,77,78,69,80
50  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-18,67,71,72,76,74,73,75,74,77,73,71,71,72,71,70,63,63,64,67,64,65,68,65,64,61,68,64,61,-,-,-,69
51  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-18,62,63,63,59,59,61,60,60,58,65,63,64,57,57,54,58,58,62,61,56,53,51,55,56,55,57,54,53,56,59,63,58
52  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-18,61,63,61,60,65,58,59,56,57,57,64,58,51,54,54,56,72,67,60,57,54,53,51,53,55,52,58,64,58,66,-,58
53  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-18,68,91,73,65,67,66,69,73,68,66,72,69,72,69,66,67,69,67,62,61,68,77,69,82,80,72,79,86,87,86,80,72
54  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-18,78,75,65,66,65,64,72,77,83,91,90,90,86,85,83,81,74,74,84,77,88,90,86,87,88,84,85,86,85,77,-,81
55  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-18,79,80,81,83,81,81,90,90,86,84,81,79,81,86,87,82,83,89,84,92,91,93,89,90,94,92,94,92,90,89,89,86
56  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-18,86,83,82,88,84,85,84,80,85,82,86,88,84,85,88,85,88,92,87,89,90,87,92,91,89,88,84,85,85,86,87,86
57  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-18,87,85,91,90,84,83,83,85,87,82,80,81,83,87,85,84,81,89,91,89,83,84,84,79,78,78,80,81,83,82,-,84
58  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-18,86,89,90,87,81,81,84,82,83,86,89,85,82,80,80,80,80,77,80,83,88,91,90,85,85,87,84,84,80,84,87,84
59  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-18,81,78,81,80,79,83,82,84,83,88,88,89,87,84,84,84,83,83,82,79,80,80,82,78,81,83,75,78,80,82,-,82
60  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-18,82,81,80,82,83,82,84,87,83,81,82,92,92,87,83,83,84,84,82,86,80,79,79,81,80,78,79,81,83,85,79,83
61  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-19,79,83,76,81,83,82,84,93,87,84,84,83,83,82,81,82,82,84,80,80,78,77,74,73,76,78,77,77,80,78,75,80
62  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-19,76,78,73,73,69,70,71,70,68,68,69,69,68,68,67,71,65,66,67,66,64,64,66,61,64,64,62,63,-,-,-,68
63  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-19,60,63,61,60,56,59,58,60,53,53,56,57,56,55,58,55,55,57,52,48,47,52,56,55,53,52,55,51,48,51,46,55
64  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-19,44,46,51,52,48,47,51,47,45,41,42,45,46,44,47,44,47,47,51,57,51,44,44,47,45,45,42,41,41,40,-,46
65  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-19,47,50,48,45,47,48,49,50,50,51,52,52,74,68,73,67,72,67,60,56,64,72,77,70,79,80,74,71,78,80,85,63
66  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-19,73,70,73,69,77,76,73,71,74,77,76,82,79,85,87,87,84,88,83,80,80,78,72,74,73,71,75,76,79,83,-,77
67  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-19,83,87,81,78,82,82,87,88,83,84,83,85,85,86,79,75,78,73,68,72,78,76,88,92,86,86,89,80,77,81,83,82
68  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-19,88,90,81,90,90,88,91,86,90,93,90,84,85,89,86,91,90,86,82,78,84,85,87,83,88,82,78,82,84,85,92,86
69  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-19,86,89,86,80,82,82,87,84,90,88,90,86,84,87,79,77,78,84,85,84,86,89,83,77,77,83,91,84,80,81,-,84
70  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-19,80,79,76,77,86,84,82,81,75,77,79,78,79,91,78,77,81,83,85,80,80,76,77,78,84,78,79,76,78,78,77,80
71  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-19,74,82,81,83,80,80,79,92,82,80,77,78,75,82,78,78,73,74,76,77,78,78,78,78,74,75,77,75,75,76,-,78
72  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-19,77,74,77,75,75,72,67,70,73,76,77,78,79,79,81,79,79,76,74,77,82,76,73,76,80,81,80,79,82,84,83,77
73  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-20,80,78,79,76,79,77,77,77,79,74,69,73,74,76,75,72,74,74,68,68,73,72,69,67,62,63,67,68,63,66,68,72
74  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-20,69,65,64,65,62,62,63,66,68,65,64,60,56,53,58,66,63,62,60,61,63,61,60,58,60,68,66,64,56,-,-,62
75  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-20,56,54,62,63,57,54,52,50,47,51,48,48,51,54,55,53,47,45,45,46,50,50,42,42,42,43,45,45,43,42,49,49
76  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-20,42,43,42,43,42,43,46,47,46,42,47,49,50,51,46,53,42,46,46,41,42,39,43,41,43,70,74,75,81,72,-,50
77  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-20,74,72,78,66,61,58,58,63,66,65,69,62,66,65,61,59,63,67,74,77,75,72,69,65,59,57,57,73,69,73,67,66
78  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-20,62,60,76,76,74,74,75,79,76,75,76,73,66,71,80,88,85,85,82,79,72,76,78,79,84,81,79,71,68,68,-,76
79  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-20,75,74,79,77,75,68,67,81,77,83,78,78,88,80,75,67,73,82,82,77,91,76,69,68,71,68,73,86,88,76,76,77
80  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-20,75,88,95,90,88,83,83,85,81,83,86,86,83,83,89,84,87,89,88,81,90,89,93,90,89,86,86,80,83,82,87,86
81  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-20,88,80,80,82,78,79,82,85,83,81,79,81,81,85,82,78,79,80,77,90,83,83,80,90,84,80,85,85,81,89,-,82
