station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,average
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-99,76,80.0,81.0,83.0,78.0,78.0,69.0,72.0,78.0,79.0,77.0,74.0,75.0,77.0,76.0,71.0,72.0,75.0,79.0,80.0,82.0,76.0,88.0,91.0,86.0,78.0,78.0,78.0,76,72,-,78
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-99,70,71.0,75.0,76.0,80.0,88.0,80.0,80.0,81.0,77.0,81.0,81.0,79.0,80.0,77.0,80.0,84.0,80.0,84.0,82.0,81.0,86.0,81.0,81.0,80.0,87.0,85.0,85.0,85,84,87,81
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-99,86,87.0,84.0,87.0,89.0,88.0,92.0,92.0,87.0,87.0,87.0,93.0,90.0,85.0,82.0,81.0,82.0,79.0,82.0,79.0,75.0,77.0,83.0,81.0,81.0,83.0,83.0,84.0,82,83,86,84
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-99,86,80.0,79.0,75.0,79.0,85.0,87.0,85.0,84.0,83.0,89.0,84.0,84.0,83.0,81.0,83.0,88.0,85.0,81.0,84.0,82.0,80.0,78.0,88.0,86.0,82.0,80.0,81.0,88,80,-,83
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-99,81,83.0,87.0,83.0,79.0,82.0,82.0,78.0,77.0,78.0,80.0,82.0,81.0,79.0,89.0,83.0,84.0,79.0,79.0,79.0,84.0,79.0,79.0,79.0,82.0,88.0,84.0,87.0,84,88,83,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-99,86,87.0,89.0,83.0,82.0,83.0,79.0,78.0,82.0,83.0,80.0,78.0,77.0,75.0,77.0,92.0,79.0,75.0,78.0,78.0,77.0,79.0,78.0,81.0,85.0,75.0,77.0,77.0,75,78,-,80
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-99,76,78.0,77.0,80.0,85.0,87.0,88.0,79.0,75.0,77.0,80.0,79.0,80.0,84.0,78.0,77.0,79.0,77.0,72.0,72.0,74.0,68.0,68.0,62.0,63.0,66.0,70.0,69.0,73,76,78,76
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-00,73,77.0,74.0,76.0,74.0,74.0,81.0,78.0,79.0,73.0,71.0,69.0,66.0,66.0,69.0,67.0,69.0,71.0,72.0,65.0,70.0,71.0,66.0,66.0,67.0,69.0,74.0,70.0,70,76,74,72
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-00,72,70.0,69.0,70.0,68.0,68.0,66.0,65.0,62.0,64.0,65.0,62.0,67.0,66.0,68.0,68.0,69.0,80.0,79.0,72.0,68.0,60.0,58.0,61.0,59.0,62.0,70.0,62.0,77,-,-,67
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-00,60,58.0,54.0,57.0,56.0,55.0,54.0,59.0,57.0,55.0,52.0,49.0,56.0,55.0,52.0,49.0,48.0,51.0,53.0,52.0,48.0,50.0,58.0,69.0,72.0,80.0,82.0,78.0,86,70,66,59
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-00,62,57.0,57.0,58.0,54.0,56.0,63.0,61.0,59.0,58.0,65.0,75.0,68.0,65.0,66.0,72.0,69.0,76.0,72.0,68.0,79.0,74.0,71.0,71.0,65.0,74.0,72.0,66.0,66,71,-,66
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-00,69,66.0,65.0,73.0,82.0,79.0,75.0,70.0,68.0,70.0,73.0,78.0,89.0,89.0,86.0,87.0,84.0,84.0,89.0,89.0,77.0,85.0,83.0,81.0,84.0,92.0,84.0,81.0,80,80,81,80
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-00,79,83.0,88.0,86.0,80.0,83.0,82.0,76.0,77.0,79.0,85.0,88.0,86.0,91.0,91.0,84.0,80.0,84.0,78.0,83.0,86.0,81.0,82.0,85.0,86.0,82.0,86.0,74.0,79,84,-,83
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-00,78,79.0,80.0,73.0,85.0,88.0,81.0,87.0,82.0,81.0,84.0,86.0,81.0,82.0,80.0,82.0,91.0,87.0,86.0,82.0,86.0,89.0,87.0,88.0,86.0,84.0,83.0,78.0,79,82,80,83
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-00,77,77.0,79.0,78.0,84.0,86.0,81.0,89.0,88.0,85.0,84.0,85.0,86.0,87.0,88.0,85.0,79.0,79.0,85.0,85.0,80.0,81.0,87.0,83.0,81.0,82.0,79.0,84.0,89,88,89,84
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-00,83,83.0,90.0,89.0,93.0,83.0,82.0,80.0,78.0,79.0,80.0,92.0,90.0,86.0,87.0,80.0,78.0,78.0,88.0,84.0,87.0,84.0,79.0,81.0,89.0,83.0,84.0,84.0,86,89,-,84
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-00,89,85.0,83.0,83.0,87.0,81.0,84.0,82.0,79.0,79.0,83.0,86.0,82.0,83.0,78.0,79.0,88.0,85.0,81.0,83.0,82.0,80.0,87.0,91.0,87.0,85.0,80.0,83.0,83,94,84,84
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-00,80,76.0,79.0,80.0,80.0,80.0,80.0,83.0,81.0,79.0,84.0,80.0,82.0,82.0,84.0,80.0,79.0,83.0,79.0,80.0,80.0,82.0,83.0,83.0,83.0,81.0,82.0,81.0,84,83,-,81
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-00,80,79.0,83.0,82.0,81.0,85.0,83.0,81.0,85.0,82.0,82.0,84.0,81.0,81.0,85.0,82.0,82.0,81.0,82.0,83.0,82.0,83.0,84.0,80.0,80.0,81.0,81.0,81.0,83,80,82,82
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-01,82,81.0,83.0,82.0,82.0,78.0,76.0,80.0,83.0,79.0,82.0,77.0,78.0,79.0,79.0,78.0,80.0,79.0,79.0,79.0,80.0,78.0,72.0,76.0,74.0,70.0,71.0,72.0,75,73,71,78
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-01,72,71.0,71.0,71.0,74.0,72.0,72.0,74.0,69.0,63.0,68.0,70.0,74.0,75.0,71.0,70.0,73.0,78.0,71.0,69.0,66.0,67.0,68.0,68.0,66.0,69.0,69.0,64.0,-,-,-,70
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-01,65,67.0,68.0,68.0,69.0,60.0,54.0,58.0,71.0,67.0,69.0,89.0,91.0,85.0,90.0,75.0,67.0,61.0,58.0,60.0,59.0,59.0,59.0,57.0,57.0,55.0,65.0,54.0,63,63,60,66
